customer_id,renta,condiciones_conduccion,vacaciones,sector,comunidad_autonoma,familia,tipo_combustible,uso_habitual,cambio,plaza_parking,frecuencia_uso,experiencia_conduccion,car_id,Maker,Version,Price,Year,Kms,Potencia,Caja_velocidades,presupuesto,tipo_combustible.1,Puertas,Plazas,Marca,target
3163,20000 - 35000,off-road,ciudad,Tecnología,Murcia,"Si, grande",electrico,uso particular habitual,Manual,No,diario,intermedio,78,Audi A8,60 TFSIe quattro tiptronic,58590,2020,75.547km,449CV,Automatico,"50,000+",Hibrido,4,5,Audi,1
619,-12000,buen clima,montaña,Energía,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Manual,Si,diario,intermedio,81,Audi Q2,30 TDI Advanced,21790,2021,44.611km,116CV,Manual,"20,000-30,000",Diesel,4,5,Audi,1
361,60000 - 100000,buen clima,ciudad,Salud,Asturias,"Si, grande",diesel,uso particular ocasional,Automatico,No,diario,intermedio,89,Audi Q2,30 TFSI Design,18190,2020,104.807km,116CV,Manual,"15,000-20,000",Gasolina,4,5,Audi,1
2895,-12000,nieve,montaña,Comercio,Canarias,"Si, pequeña",gasolina,uso particular habitual,Manual,Si,diario,experto,91,Audi Q2,30 TFSI Design,18590,2020,103.314km,116CV,Manual,"15,000-20,000",Gasolina,4,5,Audi,1
4248,20000 - 35000,nieve,ciudad,Comercio,Canarias,"Si, pequeña",gasolina,uso particular habitual,Manual,Si,diario,intermedio,91,Audi Q2,30 TFSI Design,18590,2020,103.314km,116CV,Manual,"15,000-20,000",Gasolina,4,5,Audi,1
4554,100000,buen clima,playa,Salud,Extremadura,No,gasolina,uso particular ocasional,Automatico,Si,diario,intermedio,96,Audi Q2,30 TFSI Sport,18990,2019,57.484km,116CV,Manual,"15,000-20,000",Gasolina,4,5,Audi,1
4513,35000-60000,nieve,montaña,Salud,Aragón,"Si, grande",diesel,uso particular habitual,Manual,No,semanal,intermedio,97,Audi Q2,30 TFSI Sport,19090,2019,57.000km,116CV,Manual,"15,000-20,000",Gasolina,4,5,Audi,1
3146,-12000,buen clima,montaña,Energía,Madrid,"Si, grande",electrico,uso particular ocasional,Automatico,Si,diario,intermedio,101,Audi Q2,35 TFSI Advanced,22590,2021,43.165km,150CV,Manual,"20,000-30,000",Gasolina,4,5,Audi,1
3527,35000-60000,nieve,montaña,Servicios Financieros,Asturias,"Si, pequeña",diesel,uso particular ocasional,Manual,Si,diario,novato,101,Audi Q2,35 TFSI Advanced,22590,2021,43.165km,150CV,Manual,"20,000-30,000",Gasolina,4,5,Audi,1
3394,12000 - 20000,buen clima,montaña,Entretenimiento y Medios,Extremadura,"Si, grande",gasolina,viajes largos,Automatico,Si,diario,intermedio,103,Audi Q3,1.6 TGDI 48V Tecno Sky 4x2,27090,2019,64.738km,150CV,Automatico,"20,000-30,000",Gasolina,4,5,Audi,1
3393,20000 - 35000,off-road,montaña,Tecnología,Castilla-La Mancha,"Si, grande",gasolina,uso particular habitual,Manual,Si,diario,novato,104,Audi Q3,2.0TDI Black Line Ed. quattro S tronic,18990,2016,100.710km,150CV,Automatico,"15,000-20,000",Diesel,4,5,Audi,1
3810,12000 - 20000,off-road,playa,Transporte y Logística,Asturias,No,diesel,uso particular ocasional,Manual,Si,ocasional,intermedio,107,Audi Q3,2.0TDI Sport edition S tronic,21390,2017,72.506km,150CV,Automatico,"20,000-30,000",Diesel,4,5,Audi,1
211,20000 - 35000,buen clima,ciudad,Comercio,Asturias,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si,semanal,intermedio,108,Audi Q3,35 TDI Advanced S tronic,25490,2022,110.710km,150CV,Automatico,"20,000-30,000",Diesel,4,5,Audi,1
1617,35000-60000,buen clima,ciudad,Servicios Financieros,Canarias,"Si, grande",diesel,uso particular habitual,Manual,Si,diario,intermedio,110,Audi Q3,35 TDI Advanced S tronic,26690,2022,115.702km,150CV,Automatico,"20,000-30,000",Diesel,4,5,Audi,1
333,20000 - 35000,off-road,ciudad,Educación,Extremadura,"Si, pequeña",diesel,uso particular habitual,Manual,No,ocasional,intermedio,115,Audi Q3,35 TDI S tronic,22490,2020,152.924km,150CV,Automatico,"20,000-30,000",Diesel,4,5,Audi,1
3334,-12000,buen clima,montaña,Comercio,Asturias,No,diesel,uso particular ocasional,Manual,No,diario,intermedio,115,Audi Q3,35 TDI S tronic,22490,2020,152.924km,150CV,Automatico,"20,000-30,000",Diesel,4,5,Audi,1
4416,35000-60000,buen clima,montaña,Tecnología,Aragón,No,diesel,uso particular ocasional,Manual,No,semanal,novato,118,Audi Q3,35 TFSI Advanced S tronic,21790,2019,125.947km,150CV,Automatico,"20,000-30,000",Gasolina,4,5,Audi,1
1520,35000-60000,buen clima,montaña,Turismo y Ocio,Aragón,"Si, grande",diesel,uso particular habitual,Manual,Si,ocasional,experto,122,Audi Q3,35 TFSI S line S tronic,23990,2019,62.964km,150CV,Automatico,"20,000-30,000",Gasolina,4,5,Audi,1
1232,60000 - 100000,off-road,montaña,Comercio,Andalucía,"Si, pequeña",diesel,uso particular habitual,Manual,No,semanal,novato,123,Audi Q3,35 TFSI S line S tronic,24590,2019,87.161km,150CV,Automatico,"20,000-30,000",Gasolina,4,5,Audi,1
2237,20000 - 35000,buen clima,ciudad,Tecnología,Castilla-La Mancha,"Si, pequeña",gasolina,uso particular ocasional,Automatico,Si,diario,intermedio,129,Audi Q3,Sportback 35 TFSI S line S tronic,31390,2020,106.988km,150CV,Automatico,"30,000-40,000",Hibrido,4,5,Audi,1
2520,60000 - 100000,buen clima,montaña,Otros,Asturias,No,diesel,uso particular habitual,Manual,No,diario,intermedio,133,Audi Q5,35 TDI Design quattro-ultra S tronic,29990,2019,84.909km,163CV,Automatico,"20,000-30,000",Diesel,4,5,Audi,1
2267,60000 - 100000,nieve,ciudad,Otros,Baleares,No,electrico,uso particular habitual,Manual,Si,ocasional,intermedio,141,Audi Q5,Sportback 40 TDI quattro-ultra S line S tronic,37890,2022,115.692km,204CV,Automatico,"30,000-40,000",Hibrido,4,5,Audi,1
765,20000 - 35000,buen clima,montaña,Entretenimiento y Medios,Castilla y León,"Si, pequeña",hibrido,uso particular ocasional,Manual,No,diario,intermedio,149,BMW Serie 1,116d M Sport,26090,2022,14.252km,116CV,Automatico,"20,000-30,000",Diesel,4,5,BMW,1
3339,12000 - 20000,nieve,playa,Transporte y Logística,Aragón,No,electrico,viajes largos,Manual,No,semanal,intermedio,150,BMW Serie 1,116i,15090,2018,84.488km,109CV,Manual,"15,000-20,000",Gasolina,4,5,BMW,1
2837,12000 - 20000,buen clima,ciudad,Comercio,Cataluña,"Si, pequeña",diesel,uso particular habitual,Manual,No,diario,novato,151,BMW Serie 1,116i,15390,2018,128.149km,109CV,Manual,"15,000-20,000",Gasolina,4,5,BMW,1
4094,12000 - 20000,buen clima,ciudad,Transporte y Logística,Canarias,"Si, pequeña",diesel,uso particular ocasional,Automatico,Si,semanal,intermedio,155,BMW Serie 1,118d,19590,2020,44.244km,150CV,Manual,"15,000-20,000",Diesel,4,5,BMW,1
1322,20000 - 35000,buen clima,ciudad,Salud,Castilla-La Mancha,"Si, grande",diesel,uso particular ocasional,Manual,No,diario,experto,158,BMW Serie 1,118d,19990,2020,57.722km,150CV,Automatico,"15,000-20,000",Diesel,4,5,BMW,1
1413,20000 - 35000,buen clima,montaña,Salud,Andalucía,"Si, pequeña",gasolina,uso particular ocasional,Automatico,No,diario,novato,158,BMW Serie 1,118d,19990,2020,57.722km,150CV,Automatico,"15,000-20,000",Diesel,4,5,BMW,1
1599,100000,buen clima,playa,Servicios Financieros,Navarra,No,hibrido,uso particular habitual,Manual,No,diario,intermedio,158,BMW Serie 1,118d,19990,2020,57.722km,150CV,Automatico,"15,000-20,000",Diesel,4,5,BMW,1
4761,60000 - 100000,buen clima,ciudad,Servicios Financieros,Asturias,"Si, pequeña",gasolina,viajes largos,Automatico,Si,diario,experto,158,BMW Serie 1,118d,19990,2020,57.722km,150CV,Automatico,"15,000-20,000",Diesel,4,5,BMW,1
4823,20000 - 35000,buen clima,ciudad,Salud,Baleares,"Si, pequeña",electrico,uso particular ocasional,Automatico,Si,diario,intermedio,158,BMW Serie 1,118d,19990,2020,57.722km,150CV,Automatico,"15,000-20,000",Diesel,4,5,BMW,1
1182,-12000,off-road,montaña,Otros,Aragón,No,diesel,uso particular ocasional,Manual,Si,diario,intermedio,159,BMW Serie 1,118d,19990,2020,59.828km,150CV,Manual,"15,000-20,000",Diesel,4,5,BMW,1
512,-12000,buen clima,montaña,Transporte y Logística,Aragón,No,electrico,uso particular habitual,Manual,No,diario,intermedio,160,BMW Serie 1,118d,20390,2020,50.823km,150CV,Manual,"20,000-30,000",Diesel,4,5,BMW,1
3971,20000 - 35000,buen clima,ciudad,Tecnología,Andalucía,"Si, pequeña",diesel,viajes largos,Manual,Si,diario,intermedio,161,BMW Serie 1,118d,20590,2020,50.484km,150CV,Manual,"20,000-30,000",Diesel,4,5,BMW,1
4803,100000,off-road,montaña,Tecnología,Andalucía,No,gasolina,uso particular habitual,Automatico,No,ocasional,intermedio,162,BMW Serie 1,118d,20790,2020,52.878km,150CV,Manual,"20,000-30,000",Diesel,4,5,BMW,1
2805,20000 - 35000,buen clima,montaña,Otros,Andalucía,No,diesel,uso particular habitual,Manual,No,semanal,novato,164,BMW Serie 1,118d,22690,2020,17.803km,150CV,Manual,"20,000-30,000",Diesel,4,5,BMW,1
2949,20000 - 35000,buen clima,playa,Turismo y Ocio,Baleares,"Si, grande",diesel,uso particular ocasional,Manual,Si,diario,intermedio,168,BMW Serie 2,218d Gran Tourer,18490,2020,91.351km,150CV,Manual,"15,000-20,000",Diesel,4,5,BMW,1
4558,35000-60000,buen clima,playa,Tecnología,Canarias,No,gasolina,viajes largos,Manual,Si,diario,experto,169,BMW Serie 2,218dA Gran Coupé,19990,2021,140.552km,150CV,Automatico,"15,000-20,000",Diesel,4,5,BMW,1
3780,35000-60000,buen clima,ciudad,Servicios Financieros,Extremadura,"Si, pequeña",gasolina,uso particular habitual,Manual,No,diario,experto,173,BMW Serie 2,225xe iPerformance Active Tourer,14290,2018,121.027km,224CV,Automatico,"10,000-15,000",Hibrido,4,5,BMW,1
3404,20000 - 35000,buen clima,playa,Tecnología,Baleares,No,hibrido,uso particular ocasional,Manual,No,diario,intermedio,175,BMW Serie 2,225xe iPerformance Active Tourer,16490,2018,104.949km,224CV,Automatico,"15,000-20,000",Hibrido,4,5,BMW,1
52,20000 - 35000,nieve,montaña,Tecnología,Cantabria,"Si, grande",diesel,uso particular habitual,Manual,Si,diario,intermedio,177,BMW Serie 2,M235i Coupé,26890,2016,41.000km,326CV,Manual,"20,000-30,000",Gasolina,4,5,BMW,1
4077,20000 - 35000,buen clima,playa,Servicios Financieros,Murcia,"Si, pequeña",gasolina,uso particular habitual,Manual,Si,diario,intermedio,181,BMW Serie 3,318d,19590,2020,115.073km,150CV,Automatico,"15,000-20,000",Diesel,4,5,BMW,1
3272,35000-60000,nieve,montaña,Comercio,Asturias,"Si, pequeña",gasolina,viajes largos,Manual,Si,diario,experto,182,BMW Serie 3,318dA,23490,2021,89.886km,150CV,Automatico,"20,000-30,000",Hibrido,4,5,BMW,1
3989,20000 - 35000,buen clima,ciudad,Educación,Galicia,No,electrico,uso particular habitual,Manual,No,semanal,intermedio,182,BMW Serie 3,318dA,23490,2021,89.886km,150CV,Automatico,"20,000-30,000",Hibrido,4,5,BMW,1
2595,12000 - 20000,buen clima,ciudad,Servicios Financieros,Baleares,"Si, grande",diesel,uso particular habitual,Automatico,No,diario,intermedio,183,BMW Serie 3,318dA,24090,2022,56.896km,150CV,Automatico,"20,000-30,000",Hibrido,4,5,BMW,1
4962,12000 - 20000,nieve,playa,Tecnología,Baleares,"Si, pequeña",gasolina,uso particular habitual,Automatico,No,ocasional,intermedio,183,BMW Serie 3,318dA,24090,2022,56.896km,150CV,Automatico,"20,000-30,000",Hibrido,4,5,BMW,1
2729,-12000,nieve,montaña,Tecnología,Andalucía,No,gasolina,uso particular habitual,Manual,No,semanal,novato,184,BMW Serie 3,318dA,25190,2022,55.161km,150CV,Automatico,"20,000-30,000",Hibrido,4,5,BMW,1
4106,60000 - 100000,buen clima,montaña,Transporte y Logística,Baleares,"Si, pequeña",electrico,viajes largos,Manual,Si,ocasional,intermedio,184,BMW Serie 3,318dA,25190,2022,55.161km,150CV,Automatico,"20,000-30,000",Hibrido,4,5,BMW,1
4712,20000 - 35000,buen clima,montaña,Industria Construccion y Manufactura,Galicia,No,electrico,uso particular ocasional,Automatico,Si,ocasional,intermedio,187,BMW Serie 3,320dA,29490,2022,110.306km,190CV,Automatico,"20,000-30,000",Hibrido,4,5,BMW,1
1427,20000 - 35000,nieve,montaña,Salud,Asturias,"Si, pequeña",electrico,uso particular habitual,Automatico,Si,diario,intermedio,188,BMW Serie 3,320dA xDrive Touring,23690,2020,98.766km,190CV,Automatico,"20,000-30,000",Hibrido,4,5,BMW,1
4328,12000 - 20000,buen clima,ciudad,Salud,Aragón,"Si, grande",hibrido,uso particular habitual,Manual,Si,diario,experto,190,BMW Serie 3,320iA,24290,2020,82.902km,184CV,Automatico,"20,000-30,000",Gasolina,4,5,BMW,1
3546,60000 - 100000,buen clima,ciudad,Tecnología,Aragón,"Si, grande",diesel,uso particular habitual,Automatico,No,diario,novato,194,BMW Serie 5,520dA Touring,26390,2021,105.695km,190CV,Automatico,"20,000-30,000",Hibrido,4,5,BMW,1
4520,60000 - 100000,buen clima,montaña,Tecnología,Canarias,"Si, pequeña",diesel,uso particular habitual,Automatico,No,diario,intermedio,197,BMW Serie 5,540dA xDrive,26390,2019,166.262km,320CV,Automatico,"20,000-30,000",Diesel,4,5,BMW,1
2568,35000-60000,off-road,playa,Servicios Financieros,Madrid,"Si, grande",gasolina,uso particular ocasional,Manual,Si,ocasional,intermedio,198,BMW Serie 6,640iA Gran Turismo xDrive Luxury Line,49790,2022,51.431km,333CV,Automatico,"40,000-50,000",Hibrido,4,5,BMW,1
1863,100000,nieve,ciudad,Turismo y Ocio,Asturias,"Si, pequeña",diesel,uso particular ocasional,Manual,No,semanal,experto,200,BMW Serie 8,840iA Gran Coupé xDrive,64090,2022,43.418km,333CV,Automatico,"50,000+",Gasolina,4,5,BMW,1
1989,-12000,buen clima,playa,Comercio,Asturias,No,diesel,uso particular habitual,Manual,Si,ocasional,experto,200,BMW Serie 8,840iA Gran Coupé xDrive,64090,2022,43.418km,333CV,Automatico,"50,000+",Gasolina,4,5,BMW,1
3270,12000 - 20000,buen clima,montaña,Comercio,Aragón,No,gasolina,uso particular ocasional,Manual,Si,diario,novato,205,BMW X1,sDrive 16d Business,17090,2018,126.326km,116CV,Manual,"15,000-20,000",Diesel,4,5,BMW,1
3915,12000 - 20000,buen clima,playa,Energía,Castilla-La Mancha,"Si, pequeña",hibrido,uso particular habitual,Manual,Si,diario,experto,205,BMW X1,sDrive 16d Business,17090,2018,126.326km,116CV,Manual,"15,000-20,000",Diesel,4,5,BMW,1
3576,35000-60000,nieve,montaña,Comercio,Asturias,"Si, pequeña",diesel,uso particular ocasional,Manual,No,semanal,intermedio,207,BMW X1,sDrive 16d Business,21790,2020,34.057km,116CV,Manual,"20,000-30,000",Diesel,4,5,BMW,1
3430,35000-60000,buen clima,montaña,Entretenimiento y Medios,Andalucía,No,electrico,viajes largos,Automatico,Si,ocasional,novato,209,BMW X1,sDrive 18d Business,19990,2019,109.790km,150CV,Automatico,"15,000-20,000",Diesel,4,5,BMW,1
4024,35000-60000,buen clima,ciudad,Energía,Andalucía,No,diesel,uso particular habitual,Automatico,Si,diario,intermedio,215,BMW X1,sDrive 18dA,32790,2023,48.657km,150CV,Automatico,"30,000-40,000",Diesel,4,5,BMW,1
1504,12000 - 20000,buen clima,montaña,Transporte y Logística,Aragón,No,gasolina,uso particular ocasional,Manual,No,diario,intermedio,217,BMW X1,sDrive 18dA Corporate,24590,2022,59.692km,150CV,Automatico,"20,000-30,000",Diesel,4,5,BMW,1
2916,20000 - 35000,nieve,montaña,Servicios Financieros,Castilla-La Mancha,"Si, pequeña",diesel,uso particular habitual,Manual,Si,diario,novato,220,BMW X1,sDrive 18iA,22490,2022,68.751km,136CV,Automatico,"20,000-30,000",Gasolina,4,5,BMW,1
1165,-12000,nieve,playa,Servicios Financieros,Aragón,"Si, pequeña",diesel,uso particular ocasional,Manual,No,semanal,intermedio,222,BMW X1,sDrive 18iA,28990,2022,43.168km,136CV,Automatico,"20,000-30,000",Gasolina,4,5,BMW,1
388,60000 - 100000,nieve,playa,Servicios Financieros,Cataluña,"Si, grande",gasolina,uso particular habitual,Automatico,Si,diario,novato,223,BMW X1,sDrive 18iA,28990,2022,55.626km,136CV,Automatico,"20,000-30,000",Gasolina,4,5,BMW,1
1210,20000 - 35000,buen clima,ciudad,Salud,Andalucía,"Si, grande",diesel,uso particular ocasional,Manual,Si,semanal,novato,223,BMW X1,sDrive 18iA,28990,2022,55.626km,136CV,Automatico,"20,000-30,000",Gasolina,4,5,BMW,1
123,35000-60000,buen clima,ciudad,Tecnología,Galicia,"Si, grande",hibrido,uso particular habitual,Automatico,No,semanal,intermedio,224,BMW X1,sDrive 18iA,29490,2023,58.652km,136CV,Automatico,"20,000-30,000",Gasolina,4,5,BMW,1
199,35000-60000,buen clima,montaña,Comercio,Asturias,"Si, pequeña",gasolina,uso particular habitual,Automatico,Si,diario,experto,224,BMW X1,sDrive 18iA,29490,2023,58.652km,136CV,Automatico,"20,000-30,000",Gasolina,4,5,BMW,1
2211,35000-60000,buen clima,montaña,Industria Construccion y Manufactura,La Rioja,No,hibrido,uso particular ocasional,Manual,Si,diario,intermedio,227,BMW X1,sDrive 18iA xLine,28990,2022,58.747km,136CV,Automatico,"20,000-30,000",Gasolina,4,5,BMW,1
4063,20000 - 35000,buen clima,ciudad,Comercio,Castilla-La Mancha,"Si, grande",diesel,uso particular ocasional,Automatico,Si,diario,novato,229,BMW X1,xDrive 20dA,35190,2022,24.856km,190CV,Automatico,"30,000-40,000",Diesel,4,5,BMW,1
